"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","6,385.39","6,413.88","6,465.55","6,342.90","","-0.44%"
"06/01/2024","6,413.88","6,632.80","6,701.81","6,410.17","","-2.90%"
"05/01/2024","6,605.52","6,514.55","6,838.39","6,492.18","","1.44%"
"04/01/2024","6,511.90","6,643.76","6,730.75","6,310.07","","-2.04%"
"03/01/2024","6,647.40","6,449.88","6,681.12","6,238.07","","3.06%"
"02/01/2024","6,449.88","5,987.14","6,472.80","5,956.07","","7.73%"
"01/01/2024","5,987.14","6,197.77","6,210.59","5,822.66","","-3.40%"
"12/01/2023","6,197.77","5,818.51","6,294.18","5,788.56","","6.52%"
"11/01/2023","5,818.51","5,407.50","5,844.21","5,363.16","","7.60%"
"10/01/2023","5,407.50","5,833.36","5,916.01","5,369.95","","-7.30%"
"09/01/2023","5,833.36","6,009.28","6,058.88","5,734.70","","-2.93%"
"08/01/2023","6,009.28","6,394.40","6,432.76","6,009.28","","-6.02%"
"07/01/2023","6,394.40","5,786.80","6,449.20","5,770.61","","10.50%"
"06/01/2023","5,786.80","5,471.54","5,787.65","5,471.05","","5.76%"
"05/01/2023","5,471.54","5,416.09","5,771.40","5,316.50","","1.05%"
"04/01/2023","5,414.68","5,324.62","5,492.36","5,146.91","","1.69%"
"03/01/2023","5,324.62","5,394.90","5,477.74","5,096.85","","-1.30%"
"02/01/2023","5,394.90","5,322.39","5,451.45","5,248.68","","1.36%"
"01/01/2023","5,322.39","5,261.91","5,369.35","5,071.69","","1.14%"
"12/01/2022","5,262.43","5,282.61","5,327.04","5,108.87","","-0.38%"
"11/01/2022","5,282.61","5,193.81","5,421.27","5,114.99","","1.71%"
"10/01/2022","5,193.81","5,114.19","5,268.76","4,870.68","","1.56%"
"09/01/2022","5,114.19","5,441.26","6,013.31","5,024.98","","-6.01%"
"08/01/2022","5,441.26","5,259.05","5,549.94","5,131.05","","3.46%"
"07/01/2022","5,259.05","4,950.39","5,287.30","4,935.71","","6.24%"
"06/01/2022","4,950.39","5,350.48","5,393.33","4,924.04","","-7.48%"
"05/01/2022","5,350.48","4,778.43","5,432.56","4,650.47","","11.97%"
"04/01/2022","4,778.43","4,936.97","5,011.08","4,701.47","","-3.21%"
"03/01/2022","4,936.97","4,534.47","5,009.37","4,434.31","","8.88%"
"02/01/2022","4,534.47","4,548.45","4,686.62","4,223.36","","-0.31%"
"01/01/2022","4,548.45","4,308.38","4,671.55","4,247.58","","5.77%"
"12/01/2021","4,300.12","4,432.71","4,449.21","4,032.93","","-2.99%"
"11/01/2021","4,432.71","4,092.20","4,822.43","4,092.20","","8.32%"
"10/01/2021","4,092.20","4,362.59","4,373.50","3,959.02","","-6.20%"
"09/01/2021","4,362.59","4,491.57","4,491.57","4,290.25","","-2.87%"
"08/01/2021","4,491.57","4,252.04","4,510.77","4,172.52","","5.63%"
"07/01/2021","4,252.04","4,331.33","4,371.54","4,113.60","","-1.83%"
"06/01/2021","4,331.33","4,356.43","4,443.90","4,131.38","","-0.58%"
"05/01/2021","4,356.43","4,472.84","4,730.68","4,003.99","","-2.60%"
"04/01/2021","4,472.84","4,898.09","5,005.97","4,472.84","","-8.68%"
"03/01/2021","4,898.09","4,573.37","4,958.43","4,573.37","","7.10%"
"02/01/2021","4,573.37","4,288.65","4,679.38","4,288.65","","6.64%"
"01/01/2021","4,288.65","4,177.22","4,697.16","4,177.22","","2.67%"
"12/01/2020","4,177.22","4,032.87","4,251.72","4,032.87","","3.58%"
"11/01/2020","4,032.87","3,539.92","4,208.96","3,489.65","","13.93%"
"10/01/2020","3,539.92","3,637.30","3,831.40","3,530.26","","-2.68%"
"09/01/2020","3,637.30","3,767.15","3,858.64","3,512.53","","-3.45%"
"08/01/2020","3,767.15","4,017.08","4,079.03","3,767.15","","-6.22%"